Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
#182 sous-bois a l'automne,1968,In place,,,MacMillan Bloedel Bldg.,1075 West Georgia Street,Downtown,49.285864,-123.12219
#183 sous-bois au printemps,1968,In place,,,MacMillan Bloedel Bldg.,1075 West Georgia Street,Downtown,49.285864,-123.12219
Untitled,1970,In place,,,West Coast Transmission Bldg.,1333 West Georgia Street,Downtown,49.28899,-123.127532
Untitled,,In place,,,CBC Building, 700 Hamilton,Downtown,49.279206,-123.114961
Centennial Fountain,1971,In place,"A modernist sculpture representing two spheres, one inside the other, with water flowing from the interior sphere.","The original design was to be two granite figures, one male and one female, representing immigrants, .... (source: E.Godley, The Greater Vancouver Book), p210)",šx???ex?n Xwtl’a7shn,West Georgia & Hamilton Street,Downtown,49.280087,-123.113307
Florentine Door & Wall #3,1967,In place,The work is a cast bronze block form with arched openings and extraneous forms attached.,Vancouver Centennial Committee Purchase Award 1967,Queen Elizabeth Playhouse,Dunsmuir and Hamilton,Downtown,49.280518,-123.112989
Untitled (Tile Mural of a Woman and Child),1958,In place,"This tile mural of a woman and child by Paul Huba was designated as protected heritage property by the City of Vancouver on September 18, 2018.",,Main Post Office, 349 West Georgia Street,Downtown,49.280548,-123.114442
The Postman,1955,In place,"This carved granite postman bas-relief by Paul Huba was designated as protected heritage property by the CIty of Vancouver on September 18, 2018.",,Main Post Office,349 West Georgia,Downtown,49.28063,-123.11481
Untitled (Pair of Lions),1910,In place,"Two granite lions rest on either side of the stairs leading up to the old court house, now the Vancouver Art Gallery. They are modeled after those in Trafalgar Square in London.  Each weighs 15 tons.",,Vancouver Art Gallery,750 Hornby Street,Downtown,49.283046,-123.120103
King Edward VII Fountain,1912,In place,"The fountain is considered a heritage monument, a memorial to King Edward VII. It was initially equipped with bronze cups on chains,  but these were quickly stolen and never replaced.","Members of the Imperial Order of Daughters of the Empire commissioned sculptor Charles Marega in 1912.  The fountain was dedicated to the memory of King Edward VII and, until 1966, was prominently located in front of the Courthouse building on W. Georgia.  The 1983 conversion of the building into Vancouver's art gallery sparked renewed interest in the fountain.  Brought out of storage, the sculpture now graces the west side of the building, facing Hornby Street.",Vancouver Art Gallery,750 Hornby Street at Georgia,Downtown,49.283241,-123.12062
B.C. Pageant,1951,In place,"A colourful mural in rich reds and browns painted on linen, it depicts early explorers and natives of BC. The mural features Haida carvings and nautical symbols as decorative motifs. It includes twentieth century figures on the left panel - Emily Carr, representing culture; Eric Hamber, Chancellor of UBC, representing education; Major-General Bertram Hoffmeister representing defense; and a logger representing labour. The central panel shows Captain George Vancouver (1757-98) on the HMS Discovery naming Burrard Inlet after Sir Harry Burrard. The left panel recalls the early explorers, Juan de Fuca and de Fonte. The Nootka chief Maquinna is also included. The smaller panels include the Spanish explorer Quadra, the arrival of Captain James Cook, Alexander MacKenzie in Bella Coola, and Simon Fraser exploring the river.","Comfort was asked to create a romantic composition about West Coast development. ""My composition deals largely with discovery and development, then and now; the West Coast Indians and their artifacts, the Spaniards, the French, the British,..."" (Charles Comfort in Canadian Art 1951 as quoted in E.Godley, Public & Office Building Art in Greater Vancouver, Greater Vancouver Book)  In 2002, when the bank branch closed, the mural was donated to Simon Fraser University.","Formerly T.D. Bank, now SFU",Formerly 499 Granville Street,Downtown,49.284991,-123.114979
Nature's Own Geometry,1965,In place,The copper bas-relief with abstract design and texture that hangs above the doors as well as the enameled entrance doors themselves are done by the artists.,,Block Bldg.,2695 Granville Street,Fairview,49.261911,-123.138913
Untitled (100),1986,In place,This 7' high stone 100 was made to celebrate the centennial of the city.,,Granville Street Bridge,Granville Street at 4th Avenue,Fairview,49.267592,-123.138963
Requiem for Yan,1986,In place,This rectangular tower with many angles and corners is constructed of stainless steel and copper tubing.,"The piece was made as part of City Shapes in 1985-86. The artwork is a tribute to the strength of the pioneers and to  the artist's father, Hon Yan Young, who came to Canada to work on the railroad and became a foreman, translator, and merchant. The piece is a reference to an oriental puzzle box.",Queen Elizabeth Theatre,650 Hamilton,Downtown,49.280206,-123.112934
Homage to Helios I to V,1967,In place,,,Baxter Bldg.,1111 West Hastings Street,Downtown,49.288331,-123.12022
The Fathomless Richness of the Seabed,1969,In place,The ceramic wall relief in blues and golds is meant to be an abstract reflection of the bottom of the sea.,"The artist was asked to create a mural that would echo the relationship between the building and its environment. The mural is "" an abstract work of art and as such bears no representative relation to the world as seen through the eyes. Yet, when looked at through the mind's eye the textures, reliefs, colours suddenly acquire a pattern, a purpose, a life of their own. Bonet turned to the bottom of the sea for his inspiration.""",Guiness Tower,1055 West  Hastings Street,Downtown,49.287592,-123.118204
Cenotaph,1924,In place,"This war memorial is a grey granite obelisk and is located at the foot of Victory Square. The three-sided monument was designed by Major G.L. Thornton Sharp to harmonize with the triangular shape of the park. The Cenotaph was unveiled by His Worship W. R. Owen, Mayor of Vancouver, on Sunday April 27, 1924. The ornamentations on the stone include one long sword, one laurel wreath, and one poppy wreath; both of the wreaths are entwined with maple leafs. A stone replica of the steel helmet used in the war of 1914-1918 adorns three corner abutments.",,Victory Square,Hastings & Cambie Street,Downtown,49.282475,-123.109894
Province Newspaper Memorial,1967,In place,,,Victory Square,Hastings & Cambie Street,Downtown,49.28209,-123.109894
Lookout,1999,In place,"A sculptural installation consisting of two glass-roofed pavilions separated by approximately 120 metres.  The elliptical roof of each pavilion is supported by two walls made of stainless steel with cutout silhouettes of  industrial and natural forms. A second component of Lookout is a perimeter railing with cantilevered glass panels. The panels are inscribed with sandblasted words, written especially for this site in consultation with poet Robin Blaser. Midway between the two pavilions, the cut-out images are cast into the concrete walkway. As well, the artists have placed 13 simple bronze chairs throughout the site. The art work has an accompanying website at: http://www.lookoutsculpture.com/","""…As a public quay and access way, Marinaside Crescent is the site of a deep native and non-native knowledge, memories and history. We wanted our work to act as a 'marker' that would reflect the events and cultures of this neighbourhood and, as well, be 'of our time' and of the future. …Lookout is meant to be many things:- a shelter from rain- a viewing portal, an archway- a framing device- a 'light projector' that recalls the activities that have occurred here since human occupation- a celebration of a place.""",Marinaside Crescent,,Downtown,49.273265,-123.119147
Untitled (fountain),2000,In place,"A low black granite “lotus” radiating from a round centre ring sits in the middle of a long narrow pool between Pacific Boulevard and the seawall.  Water wells up in the centre of the flower and spills out over the stylized petals, falling from between the serrated points into the pool below. The full flower is visible from the apartments above. The lotus form honours the history of Chinese immigrants and their contribution to the railway and the industries around False Creek. Three black granite circles are inset into the white concrete around the pool.  These rings echo the Ring Gear on Pacific Boulevard. Skateboarders like to practice on the flat surfaces around the pool. The area is finished with trees and simple black granite benches.","The project, for me, was about space for public use where art would help shape, animate and give meaning to that space.One of the underlying references is the many streams that once flowed into False Creek. The extension of the pavement above the water’s edge is meant to suggest this disappearance underground, to stir memory and history, while at the same time reinforcing the sense of the above ground space as a visually continuous promenade and plaza.The pond’s dominant feature, a circular granite sculpture sited in the center of the pond, is elevated above the grade of the paving so that a viewer (pedestrian or resident) can fully comprehend its form: a form that might suggest a flower, a wheel, a saw blade....This sculpture also has a spatial function to gather and hold energy as well as operating as a source of water for the pond. The three granite rings embedded in the concrete plaza reiterate the central well of the sculpture from which the water flows and activate the plaza plane. This plane is further activated by the stainless steel rings that echo both the shape of the pond ends as well as the wave movement of the water.As the pedestrian moves into the space the sound of the falling water becomes more dominant till the extraneous sounds of the street are entirely absorbed offering respite and perhaps an opportunity for further engagement and reflection.",Boathouse Mews,Between Davie Street & Coopers Mews,Downtown,49.273857,-123.117552
Coopers Mews,2002,In place,"Taking its source elements from the railway and cooperage that used to inhabit the area in the early twentieth century, the art work starts with a galvanized steel track that runs overhead and wanders through the tall buildings between Pacific Boulevard and the False Creek seawall west of the Cambie Street bridge. Cement and wood planks are interspersed with grass to create a walkway underneath the overhead track. The planks are reminiscent of a winding keyboard. The overhead track ends at the False Creek side with a row of 5 wooden barrels lined up like on an assembly line. Below the barrels is a board walk of 12 segments. Stepping on each board distinctly will cause steam to be forced through the barrels and out one side, creating a sound like a calliope on which you can play a tune. The sound harkens back to other times in relation to the contemporary sounds of the city which surround the piece.",,Coopers Mews,1033 Marinaside Crescent,Downtown,49.273631,-123.116637
Throne of Nezahualcoyotl,1978,In place,"Depicts the throne of the Aztec lord Prince Nezahualcoyotl. According to tradition, Nezahualcoyotl - poet, architect, legislator, and ruler of Tetzcoco from 1418 to 1463 - found inspiration in flowers. Hence, the setting of VanDusen Botanical Garden was deemed appropriate by the Government of Mexico, who donated the sculpture.",,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.238255,-123.133832
Untitled,1964,In place,,,East Asiatic Bldg.,1201 West Pender Street,Downtown,49.288723,-123.123528
Untitled [East Asiatic Building],1964,In place,The photo is a  detail of the sheet copper relief in lobby,,East Asiatic Building,1201 West Pender Street,Downtown,49.288723,-123.123528
Untitled (Lions),1969,In place,,"These lions were commissioned in 1914 for a business in Hartford, Connecticut. They were cast by E. Schulte Becham and originally installed in 1920.  They were later sent to New York to be stored in 1962 and finally installed in Vancouver in 1969.-E.Godley,Public&Office Building Art in Greater Vancouver, and Jack Wassermann/Maurice Gibbons, Vancouver Sculpture, Beautiful BC, Fall 1983.",Royal General Insurance Bldg.,1155 West Pender Street,Downtown,49.288052,-123.121784
Canada Geese in Flight,1976,In place,,,Pender Place,700 West Pender Street,Downtown,49.284826,-123.115651
Continuity,1978,In place,,,Brock House,3975 Point Grey Rd.,West Point Grey,49.271352,-123.1912
Bird of Spring,1979,In place,"A simplified bird form, the sculpture is a replica of a 14cm original from Cape Dorset, NWT.",,Robson Square,Robson & Hornby Street,Downtown,49.282472,-123.120716
Spring,1981,In place,A large red steel coil which appears to be a spring holding the upper level of Robson Square.,There was a juried competition funded by BC Building Corporation during the development of Robson Square.The piece was manufactured to the artist's specifications by Ebco Industries.,Robson Square (Robson & Hornby Street),,Downtown,49.282095,-123.121989
Anchor,1986,In place,Near the west end of the pedestrian path along Spanish Banks is a stylized anchor with one point digging into the earth.  It metaphorically marks the spot where Spanish explorer Don Jose Maria Narvaez dropped anchor in 1791. He was reportedly the first European to come into this harbour.,"Fuoss-Moore says that, ""The anchor is a symbol of safety and solid footing. Vancouver with its port is intimately related to this symbol both past, present and future."" (City Shapes catalogue, May 1986) The anchor was produced as part of the City Shapes Sculpture Symposium in 1986 to celebrate Vancouver's centennial.",Spanish Banks,Spanish Banks,West Point Grey,49.279179,-123.233646
Search,1975,In place,This figurative bronze sculpture is a finely detailed realistic depiction of a woman looking in her purse.,"Johnson begins with a small clay model to fashion the gesture and pose of a figure. Once the pose is established, the artist works with a live model to sculpt the face and the exact position and a nude figure is cast in plaster. The clothes are then sewn onto the cast figure. Resin is applied to stiffen all the fabrics. The piece is then cast in wax, refined, and a ceramic mold is made in preparation for casting in bronze. Bronze details are added after. (information from the artist's web site.)",Devonian Harbour Park,Denman & Georgia Street,Downtown,49.293036,-123.133879
Killer Whale / Chief of the Undersea World,1984,In place,"The sculpture is set over a perfectly round 6.1 metre (20 feet) diameter reflecting pool. The placement pool was the gift of James and Isabelle Graham, Mary Margaret Young, and Joanne E. Barker.",,Vancouver Aquarium,Stanley Park,Stanley Park,49.300017,-123.130955
Queen Victoria Memorial Drinking Fountain,1905,In place,,,,Stanley Park,Stanley Park,49.297138,-123.134314
Robert Burns,1928,In place,"This bronze statue of Robbie Burns was cast from the original in his native town of Ayr, Scotland. It is designated a heritage monument.",,,Stanley Park,Stanley Park,49.297198,-123.134619
Lord Stanley,1960,In place,This memorial statue of Lord Stanley was erected to honour the dedication of Stanley Park.,"Major Matthews, Vancouver archivist, discovered a letter in 1950 that promised that a monument would be erected. The letter was dated 1889. The statue was erected in 1960.",,Stanley Park,Stanley Park,49.297258,-123.135223
Japanese-Canadian War Memorial,1920,In place,"This heritage monument is a round column with a light on top which sits on a round pedestal. This granite columnar monument was erected by the Japanese Association for Canadian Men of Japanese Descent to honour those who fought in W.W. I.  On May 10, 1932, cherry trees, the Japanese emblem of peace, were planted around the Memorial.",,,Stanley Park,Stanley Park,49.301084,-123.132011
Harding Memorial Sculpture,1925,In place,"Two figures with shields and two eagles stand on a small plaza with a wall behind and three stairs in front.  A relief of Harding's profile is in the centre of the wall.  The piece commemorates Harding's 1923 visit to Vancouver, the first US president to visit Canada. He died on his return to the U.S.","A memorial commissioned by the Kiwanis Club to honour US President Harding who visited Vancouver in 1923 and died shortly after leaving here for California. The Club assessed 50 cents from each member across the continent and held an international competition which Marega won.  (BC Historical News 8:22-26, June 1975)",,Stanley Park,Stanley Park,49.298277,-123.136105
Shakespeare Monument and Garden,1935,In place,,,,Stanley Park,Stanley Park,49.299971,-123.136238
Thunderbird House Post,1988,In place,"The house post is carved of red cedar with a Thunderbird at the top, a Killer Whale on the chest, and a Grizzly Bear holding a human being at the bottom. The current pole is a replica of a pair carved by Charles James in the early 1900s and owned by Chief Tsa-wee-nok of Kingcome Inlet.  The top bird figure originally had wings. (from Totem Poles, Hilary Stewart, 1990)","In 1914 two posts were rented from Chief Tsa-wee-nok of Kingcome Inlet as part of the movie set for In the Land of the Head Hunters by Edward Curtis.  The Art, Historical and Scientific Association of Vancouver bought them in 1927 for Stanley Park.  When the first one decayed badly it was replaced by a fibreglas pole(situated near the  miniature railway). The original was restored by James's granddaughter Ellen Neal in 1963 and is stored at the Vancouver Museum.  In 1988 Tony Hunt carved a replica to replace the second one which is at Brockton Point.- from Hillary Stewart, Totem Poles, 1990, Douglas & McIntyre",Brockton Point,Stanley Park,Stanley Park,49.299188,-123.120776
Pacific Spiral,2003,In place,A large metal X sits on top of a circular pool. The X is scored and lined with slate channels that fill with water and spill onto the stones outside the pool. Water also flows down a spiral channel and falls inside the pool. The natural flow of the water works in relation to  the geometric forms of the piece.,,Concord Pacific,1408 Pacific Boulevard,Downtown,49.272885,-123.126135
Chief Wa'kas Pole,1987,In place,The Wa'kas pole is a replica of an Alert Bay pole done by Yuxwayu as a memorial to Chief Wakius (or Wa'kas). The original was a house pole erected in 1893 with a ceremonial entrance through the Raven's mouth. The pole depicts a legend of 3 sons of a Nimpkish chief who outwit a mythical cannibal-at-the-north-end-of-the-world who had been stealing members of the tribe.,"The first pole was bought by the Art, Historical and Scientific Association of Vancouver and installed in Stanley Park in 1928. The original was moved to the Canadian Museum of Civilization for their Kwakwaka'wakw house.  (Stewart, Totem Poles, 1990) According to an article in the Vancouver Sun, Oct 31, 1986, the thunderbird head from the top of the pole went missing from the Park Board service yard before it was shipped to Ottawa. Doug Cranmer participated in its restoration.",Brockton Point,Stanley Park,Stanley Park,49.299245,-123.120851
Sky Chief Pole,1989,In place,"The pole represents the Nuu-chah-nulth people: from the top, Sky Chief, Moon, Kingfisher, Humpback Whale with Thunderbird on its back. Lightning Snake with the head of a wolf is on either side of the Whale, with Wolf below.  A man of knowledge is at the bottom.",,Brockton Point,Stanley Park,Stanley Park,49.299283,-123.120898
Chief Skedans Mortuary Pole,1964,In place,"A replica of a Haida mortuary pole originally raised in Skedans prior to 1878 and moved to Vancouver in 1936 for Vancouver's golden jubilee. This version by Bill Reid was carved on the site in Stanley Park in 1964 with the help of Don Yoemans and German carver Werner True.  At the top of the pole is the Moon with a Thunderbird face, the a mountain goat with cloven hooves and a Grizzly Bear at the bottom which holds a Seal.  (Stewart, Totem Poles, 1990)",,Brockton Point,Stanley Park,Stanley Park,49.299161,-123.120781
Beaver Crest Pole,1987,In place,"The pole depicts the Tait family legend of the Eagle people and the Beaver crest.  The larger figure at the top holds two small figures which depict Tait's sons Robert and Isaac who helped carve the pole. (Stewart, Totem Poles, 1990)",,Brockton Point,Stanley Park,Stanley Park,49.29924,-123.120902
Chehalis Cross,1906,In place,A heritage monument to the eight who died on the steam driven tug boat Chehalis in 1906.,,Brockton Point,Stanley Park,Stanley Park,49.299862,-123.118001
Girl in a Wetsuit,1972,In place,"A life size bronze statue of a woman in a wetsuit, with flippers on her feet and her mask pushed up on her forehead, sits on a large intertidal boulder just offshore of Stanley Park.   In September of 1968, Douglas Brown, a Vancouver lawyer, talked to sculptor Elek Imredy about his desire to commission a sculpture inspired by the famous Copenhagen mermaid, which could be sited on the great granite boulder just off the northern shore of Stanley Park. Imredy proposed a life-size bronze sculpture of a scuba diver. On Brown's initiative, the Vancouver Harbour Improvement Society was formed with the intention of financing and facilitating a unique landmark for both Vancouverites and visitors to the city. They raised the money to produce the sculpture privately and Imredy was commissioned to craft the proposed work. The Vancouver Park Board gave permission to the society to place the sculpture on the rock. Because the boulder was often covered at high tide, a precast concrete ring was created and the rock was lifted by a floating crane and set on the ring about 100 feet from its original location.  Imredy first took a mold of the top surface of the rock. In his studio, he made a replica of the rock and modeled the figure in clay. Imredy asked his young friend Debra Harrington to model, however the sculpture is not recognizably her image. ""When I couldn't get the model to hold her hand the way I wanted it... I held my left hand in front of a mirror, showing its opposite, and I modeled   right one. Of course, I made it a bit nicer, with longer fingers."" A plaster of paris mold was made from the clay figure and the sculpture was cast in fibreglass. This fibreglass figure was flown to Rome where it was cast in bronze at Giovanni and Angelo Nicci's foundry. On June 9th, 1972, the sculpture was set in place by an electric crane reaching out from shore to the rock 8o feet away and fastened to the stone with stainless steel bolts. The next day the sculpture was ceremoniously unveiled. ""Girl in Wetsuit"" has become a landmark for visitors to Stanley Park and to boats that enter the harbour.","""I didn't believe we should have a copy of the mermaid (in Copenhagen harbour). She is rightfully a symbol of Copenhagen... I proposed to have a life-size scuba diver seated there. At that time scuba diving was getting quite popular here in Vancouver and, just as important, I didn't know of any similar sculpture anywhere in the world. It was a new idea…  There was tremendous opposition and great controversy. I still don't know why..""  (quoted in The Sculpture of Elek Imredy by Terry Nobel (publisher, Vancouver, 1993)  ""The sculpture (is) a symbolic figure of the future exploration of the continental shelf."" (information provided by the artist)  ""She represents Vancouver's dependence on the sea and the necessity to use the sea for the benefit of all."" - Peggy Imredy",Great Granite Boulder,Stanley Park,Stanley Park,49.300579,-123.121984
Empress of Japan,1960,In place,"A heritage monument, this is a fibreglas reproduction of the original figurehead which was installed in 1923 and is now in the Maritime Museum.  It commemorates the Empress of Japan which sailed into Vancouver during 1891-1922.",The Empress of Japan sailed between Vancouver and the Orient between 1891 and 1922.  The original figurehead was saved by the Vancouver Daily Province and presented to the Park Board in 1928.  In 1960 the badly deteriorated original was replaced with a fibreglass original .  The original is kept at the Vancouver Maritime Museum.,,Stanley Park,Stanley Park,49.299969,-123.117887
Lumberman's Arch,1952,In place,,,,Stanley Park,Stanley Park,49.30255,-123.130411
